video_name,Valence,Arousal,Stress
Val/0704.mp4,4.1,5.7,5.7
Val/0705.mp4,4.1,5.7,5.7
Val/0706.mp4,4.1,5.6,5.7
Val/0707.mp4,4.1,5.6,5.7
Val/0708.mp4,4.1,5.6,5.6
Val/0709.mp4,4.1,5.7,5.6
Val/0710.mp4,4.1,5.7,5.7
Val/0711.mp4,4.0,5.6,5.6
Val/0712.mp4,4.1,5.6,5.6
Val/0713.mp4,4.1,5.7,5.7
Val/0714.mp4,4.2,5.8,5.7
Val/0715.mp4,4.0,5.6,5.6
Val/0716.mp4,4.1,5.7,5.7
Val/0717.mp4,4.2,5.7,5.7
Val/0718.mp4,4.1,5.7,5.7
Val/0719.mp4,4.0,5.6,5.6
Val/0720.mp4,4.2,5.8,5.8
Val/0721.mp4,4.1,5.7,5.7
Val/0722.mp4,4.1,5.7,5.7
Val/0723.mp4,4.1,5.6,5.6
Val/0724.mp4,4.1,5.6,5.6
Val/0725.mp4,4.1,5.7,5.6
Val/0726.mp4,4.1,5.7,5.6
Val/0727.mp4,4.1,5.7,5.7
Val/0728.mp4,4.1,5.7,5.7
Val/0729.mp4,4.1,5.7,5.7
Val/0730.mp4,4.1,5.8,5.7
Val/0731.mp4,4.0,5.6,5.7
Val/0732.mp4,4.1,5.7,5.7
Val/0733.mp4,4.1,5.7,5.7
Val/0734.mp4,4.1,5.8,5.8
Val/0735.mp4,4.1,5.6,5.7
Val/0736.mp4,4.2,5.8,5.8
Val/0737.mp4,4.0,5.6,5.6
Val/0738.mp4,4.1,5.7,5.7
Val/0739.mp4,4.1,5.6,5.6
Val/0740.mp4,4.1,5.7,5.6
Val/0741.mp4,4.0,5.6,5.6
Val/0742.mp4,4.1,5.6,5.6
Val/0743.mp4,4.0,5.6,5.6
Val/0744.mp4,4.1,5.7,5.7
Val/0745.mp4,4.1,5.7,5.7
Val/0746.mp4,4.1,5.7,5.7
Val/0747.mp4,4.1,5.8,5.8
Val/0748.mp4,4.1,5.7,5.6
Val/0749.mp4,4.1,5.6,5.6
Val/0750.mp4,4.0,5.6,5.6
Val/0751.mp4,4.0,5.6,5.5
Val/0752.mp4,4.0,5.6,5.6
Val/0753.mp4,4.0,5.6,5.6
Val/0754.mp4,4.2,5.8,5.8
Val/0755.mp4,4.1,5.7,5.7
Val/0756.mp4,4.1,5.8,5.7
Val/0757.mp4,4.1,5.6,5.6
Val/0758.mp4,4.0,5.6,5.6
Val/0759.mp4,4.1,5.6,5.6
Val/0760.mp4,4.1,5.7,5.6
Val/0761.mp4,4.3,5.9,5.9
Val/0762.mp4,4.1,5.6,5.6
Val/0763.mp4,4.0,5.6,5.6
Val/0764.mp4,4.1,5.6,5.7
Val/0765.mp4,4.1,5.6,5.6
Val/0766.mp4,4.1,5.7,5.7
Val/0767.mp4,4.1,5.6,5.6
Val/0768.mp4,4.1,5.7,5.7
Val/0769.mp4,4.1,5.6,5.6
Val/0770.mp4,4.0,5.6,5.6
Val/0771.mp4,4.1,5.7,5.7
Val/0772.mp4,4.2,5.8,5.8
Val/0773.mp4,4.1,5.6,5.6
Val/0774.mp4,4.1,5.6,5.7
Val/0775.mp4,4.1,5.6,5.6
Val/0776.mp4,4.1,5.7,5.7
Val/0777.mp4,4.0,5.6,5.6
Val/0778.mp4,4.1,5.7,5.6
Val/0779.mp4,4.0,5.6,5.6
Val/0780.mp4,4.1,5.7,5.7
Val/0781.mp4,4.1,5.6,5.7
Val/0782.mp4,4.3,5.8,5.9
Val/0783.mp4,4.1,5.7,5.7
Val/0784.mp4,4.1,5.7,5.7
Val/0785.mp4,4.1,5.7,5.6
Val/0786.mp4,4.1,5.7,5.7
Val/0787.mp4,4.1,5.6,5.6
Val/0788.mp4,4.1,5.7,5.7
Val/0789.mp4,4.1,5.7,5.7
Val/0790.mp4,4.0,5.6,5.6
Val/0791.mp4,4.1,5.6,5.7
Val/0792.mp4,4.1,5.6,5.6
Val/0793.mp4,4.1,5.6,5.6
Val/0794.mp4,4.1,5.7,5.6
Val/0795.mp4,4.2,5.8,5.8
Val/0796.mp4,4.2,5.8,5.8
Val/0797.mp4,4.1,5.6,5.7
Val/0798.mp4,4.1,5.8,5.8
Val/0799.mp4,4.0,5.6,5.5
Val/0800.mp4,4.1,5.7,5.8
Val/0801.mp4,4.0,5.6,5.6
Val/0802.mp4,4.1,5.7,5.7
Val/0803.mp4,4.1,5.7,5.7
Val/0804.mp4,4.0,5.6,5.6
Val/0805.mp4,4.0,5.6,5.6
Val/0806.mp4,4.0,5.7,5.7
Val/0807.mp4,4.1,5.6,5.6
Val/0808.mp4,4.1,5.6,5.6
Val/0809.mp4,4.0,5.6,5.6
Val/0810.mp4,4.1,5.6,5.6
Val/0811.mp4,4.1,5.7,5.6
Val/0812.mp4,4.1,5.7,5.7
Val/0813.mp4,4.1,5.7,5.6
Val/0814.mp4,4.1,5.6,5.6
Val/0815.mp4,4.1,5.6,5.6
Val/0816.mp4,4.1,5.6,5.6
Val/0817.mp4,4.1,5.6,5.6
Val/0818.mp4,4.0,5.6,5.6
Val/0819.mp4,4.1,5.6,5.6
Val/0820.mp4,4.1,5.6,5.6
Val/0821.mp4,4.3,5.9,5.8
Val/0822.mp4,4.1,5.6,5.6
Val/0823.mp4,4.0,5.6,5.6
Val/0824.mp4,4.1,5.8,5.7
Val/0825.mp4,4.0,5.7,5.6
Val/0826.mp4,4.1,5.7,5.7
Val/0827.mp4,4.1,5.7,5.7
Val/0828.mp4,4.3,5.8,5.8
Val/0829.mp4,4.1,5.7,5.7
Val/0830.mp4,4.1,5.7,5.7
Val/0831.mp4,4.2,5.8,5.7
Val/0832.mp4,4.0,5.6,5.6
Val/0833.mp4,4.1,5.6,5.6
Val/0834.mp4,4.0,5.6,5.6
Val/0835.mp4,4.1,5.6,5.6
Val/0836.mp4,4.1,5.7,5.7
Val/0837.mp4,4.1,5.6,5.6
Val/0838.mp4,4.1,5.6,5.6
Val/0839.mp4,4.1,5.6,5.6
Val/0840.mp4,4.1,5.7,5.7
Val/0841.mp4,4.1,5.7,5.7
Val/0842.mp4,4.1,5.7,5.7
Val/0843.mp4,4.2,5.9,5.8
Val/0844.mp4,4.1,5.7,5.7
Val/0845.mp4,4.1,5.7,5.7
Val/0846.mp4,4.1,5.6,5.6
Val/0847.mp4,4.1,5.6,5.6
Val/0848.mp4,4.1,5.7,5.6
Val/0849.mp4,4.1,5.7,5.7
Val/0850.mp4,4.1,5.7,5.7
Val/0851.mp4,4.0,5.6,5.6
Val/0852.mp4,4.1,5.6,5.6
Val/0853.mp4,4.1,5.6,5.6
Val/0854.mp4,4.1,5.7,5.7
Val/0855.mp4,4.2,5.8,5.8
Val/0856.mp4,4.1,5.7,5.7
Val/0857.mp4,4.1,5.7,5.7
Val/0858.mp4,4.0,5.6,5.6
Val/0859.mp4,4.0,5.6,5.6
Val/0860.mp4,4.0,5.6,5.6
Val/0861.mp4,4.0,5.6,5.5
Val/0862.mp4,4.1,5.7,5.7
Val/0863.mp4,4.1,5.7,5.7
Val/0864.mp4,4.0,5.6,5.6
Val/0865.mp4,4.1,5.6,5.7
Val/0866.mp4,4.2,5.7,5.7
Val/0867.mp4,4.1,5.6,5.6
Val/0868.mp4,4.1,5.8,5.7
Val/0869.mp4,4.1,5.7,5.7
Val/0870.mp4,4.1,5.7,5.7
Val/0871.mp4,4.0,5.6,5.6
Val/0872.mp4,4.1,5.7,5.7
Val/0873.mp4,4.0,5.6,5.6
Val/0874.mp4,4.0,5.7,5.6
Val/0875.mp4,4.0,5.7,5.6
Val/0876.mp4,4.1,5.6,5.6
Val/0877.mp4,4.1,5.6,5.6
Val/0878.mp4,4.1,5.7,5.7
Val/0879.mp4,4.1,5.6,5.6
Val/0880.mp4,4.2,5.8,5.8
Val/0881.mp4,4.0,5.6,5.6
Val/0882.mp4,4.1,5.7,5.7
Val/0883.mp4,4.0,5.6,5.6
Val/0884.mp4,4.1,5.7,5.7
Val/0885.mp4,4.1,5.6,5.6
Val/0886.mp4,4.0,5.6,5.6
Val/0887.mp4,4.1,5.8,5.8
Val/0888.mp4,4.2,5.7,5.7
Val/0889.mp4,4.1,5.7,5.7
Val/0890.mp4,4.1,5.7,5.7
Val/0891.mp4,4.0,5.6,5.6
Val/0892.mp4,4.1,5.7,5.7
Val/0893.mp4,4.1,5.7,5.7
Val/0894.mp4,4.1,5.7,5.7
Val/0895.mp4,4.0,5.6,5.6
Val/0896.mp4,4.1,5.6,5.6
Val/0897.mp4,4.1,5.6,5.6
Val/0898.mp4,4.1,5.7,5.7
Val/0899.mp4,4.1,5.7,5.7
Val/0900.mp4,4.0,5.6,5.6
Val/0901.mp4,4.2,5.8,5.8
Val/0902.mp4,4.1,5.7,5.7
Val/0903.mp4,4.0,5.6,5.6
Val/0904.mp4,4.0,5.6,5.6
Val/0905.mp4,4.1,5.6,5.7
Val/0906.mp4,4.1,5.7,5.7
Val/0907.mp4,4.1,5.7,5.7
Val/0908.mp4,4.1,5.7,5.7
Val/0909.mp4,4.1,5.6,5.6
Val/0910.mp4,4.1,5.7,5.7
Val/0911.mp4,4.1,5.6,5.6
Val/0912.mp4,4.0,5.7,5.6
Val/0913.mp4,4.1,5.7,5.7
Val/0914.mp4,4.2,5.8,5.8
Val/0915.mp4,4.1,5.7,5.7
Val/0916.mp4,4.1,5.6,5.6
Val/0917.mp4,4.1,5.7,5.7
Val/0918.mp4,4.1,5.7,5.7
Val/0919.mp4,4.1,5.7,5.6
Val/0920.mp4,4.0,5.6,5.6
Val/0921.mp4,4.1,5.6,5.7
Val/0922.mp4,4.0,5.6,5.6
Val/0923.mp4,4.0,5.6,5.7
Val/0924.mp4,4.1,5.7,5.7
Val/0925.mp4,4.0,5.6,5.6
Val/0926.mp4,4.1,5.7,5.8
Val/0927.mp4,4.1,5.8,5.8
Val/0928.mp4,4.1,5.7,5.7
Val/0929.mp4,4.1,5.7,5.7
Val/0930.mp4,4.0,5.6,5.6
Val/0931.mp4,4.0,5.6,5.6
Val/0932.mp4,4.1,5.7,5.7
Val/0933.mp4,4.1,5.7,5.7
Val/0934.mp4,4.1,5.8,5.7
Val/0935.mp4,4.1,5.6,5.6
Val/0936.mp4,4.1,5.8,5.7
